"STACK" "SEQ" "BIOREP" "DATE" "STRAIN" "FLUORS" "CELL" "SATELLITE" "DAPINORMMEAN" "MEAN" "TECHREP"
"62" "Stack.tif:0022-0415:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.178238341968912 3440 "1"
"63" "Stack.tif:0023-0417:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.184210526315789 3150 "1"
"64" "Stack.tif:0024-0423:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.202857142857143 4260 "1"
"65" "Stack.tif:0025-0448:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.19593023255814 3370 "1"
"66" "Stack.tif:0026-0460:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.211602209944751 3830 "1"
"67" "Stack.tif:0027-0458:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.17445652173913 3210 "1"
"68" "Stack.tif:0028-0470:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.1875 3000 "1"
"69" "Stack.tif:0029-0473:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.248780487804878 4080 "1"
"70" "Stack.tif:0030-0475:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.133502538071066 2630 "1"
"71" "Stack.tif:0031-0507:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.1260663507109 2660 "1"
"72" "Stack.tif:0032-0513:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.178325123152709 3620 "1"
"73" "Stack.tif:0033-0526:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.256521739130435 4720 "1"
"74" "Stack.tif:0034-0553:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.194086021505376 3610 "1"
"75" "Stack.tif:0035-0579:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.275 3740 "1"
"76" "Stack.tif:0036-0609:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.262790697674419 4520 "1"
"77" "Stack.tif:0037-0629:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.30354609929078 4280 "1"
"78" "Stack.tif:0038-0634:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.174522292993631 2740 "1"
"79" "Stack.tif:0039-0662:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.225850340136054 3320 "1"
"80" "Stack.tif:0040-0671:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.28359375 3630 "1"
"81" "Stack.tif:0001-0043:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.218487394957983 2600 "1"
"82" "Stack.tif:0002-0049:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.21404958677686 2590 "1"
"83" "Stack.tif:0003-0055:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.146586345381526 1460 "1"
"84" "Stack.tif:0004-0072:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.172413793103448 2500 "1"
"85" "Stack.tif:0005-0085:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.175974025974026 2710 "1"
"86" "Stack.tif:0006-0104:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.159821428571429 1790 "1"
"87" "Stack.tif:0007-0114:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.298058252427184 3070 "1"
"88" "Stack.tif:0008-0136:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.258461538461538 3360 "1"
"89" "Stack.tif:0009-0138:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.22992125984252 2920 "1"
"90" "Stack.tif:0010-0151:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.241176470588235 2870 "1"
"91" "Stack.tif:0011-0159:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.262773722627737 3600 "1"
"92" "Stack.tif:0012-0176:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.266666666666667 3440 "1"
"93" "Stack.tif:0013-0178:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.187162162162162 2770 "1"
"94" "Stack.tif:0014-0182:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.3025 3630 "1"
"95" "Stack.tif:0015-0197:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.157615894039735 2380 "1"
"96" "Stack.tif:0016-0211:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.195238095238095 2870 "1"
"97" "Stack.tif:0017-0224:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.25034965034965 3580 "1"
"98" "Stack.tif:0018-0235:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.180272108843537 2650 "1"
"99" "Stack.tif:0019-0243:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.18375 2940 "1"
"100" "Stack.tif:0020-0248:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.182165605095541 2860 "1"
"101" "Stack.tif:0021-0267:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.190909090909091 3570 "1"
"102" "Stack.tif:0022-0268:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.202255639097744 2690 "1"
"103" "Stack.tif:0023-0273:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.223976608187134 3830 "1"
"104" "Stack.tif:0024-0287:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.157291666666667 3020 "1"
"105" "Stack.tif:0025-0291:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.281147540983607 3430 "1"
"106" "Stack.tif:0026-0293:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.207317073170732 2550 "1"
"107" "Stack.tif:0027-0298:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.214935064935065 3310 "1"
"108" "Stack.tif:0028-0302:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.215286624203822 3380 "1"
"109" "Stack.tif:0029-0311:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.188157894736842 2860 "1"
"110" "Stack.tif:0030-0313:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.24453125 3130 "1"
"111" "Stack.tif:0031-0318:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.245161290322581 3040 "1"
"112" "Stack.tif:0032-0342:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.21304347826087 2450 "1"
"113" "Stack.tif:0033-0352:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.286885245901639 3500 "1"
"114" "Stack.tif:0034-0407:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.341880341880342 4000 "1"
"115" "Stack.tif:0035-0421:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.309090909090909 3740 "1"
"116" "Stack.tif:0036-0446:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.323762376237624 3270 "1"
"117" "Stack.tif:0037-0473:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.205442176870748 3020 "1"
"118" "Stack.tif:0038-0510:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.290756302521008 3460 "1"
"119" "Stack.tif:0039-0512:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.234375 3000 "1"
"120" "Stack.tif:0040-0585:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "05" "MINOR" 0.152798789712557 1010 "1"
"121" "Stack.tif:0001-0014:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.284466019417476 2930 "1"
"122" "Stack.tif:0002-0048:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.226724137931034 2630 "1"
"123" "Stack.tif:0003-0098:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.291338582677165 3700 "1"
"124" "Stack.tif:0004-0124:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.312408759124088 4280 "1"
"125" "Stack.tif:0005-0127:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.412295081967213 5030 "1"
"126" "Stack.tif:0006-0127:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.264179104477612 3540 "1"
"127" "Stack.tif:0007-0142:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.293506493506493 4520 "1"
"128" "Stack.tif:0008-0147:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.28141592920354 3180 "1"
"129" "Stack.tif:0009-0156:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.254605263157895 3870 "1"
"130" "Stack.tif:0010-0168:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.290540540540541 4300 "1"
"131" "Stack.tif:0011-0173:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.349180327868852 4260 "1"
"132" "Stack.tif:0012-0181:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.323870967741935 5020 "1"
"133" "Stack.tif:0013-0182:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.473529411764706 4830 "1"
"134" "Stack.tif:0014-0189:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.36984126984127 4660 "1"
"135" "Stack.tif:0015-0197:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.43969465648855 5760 "1"
"136" "Stack.tif:0016-0200:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.275373134328358 3690 "1"
"137" "Stack.tif:0017-0218:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.268627450980392 4110 "1"
"138" "Stack.tif:0018-0223:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.284873949579832 3390 "1"
"139" "Stack.tif:0019-0241:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.251851851851852 4080 "1"
"140" "Stack.tif:0020-0247:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.4336 5420 "1"
"141" "Stack.tif:0021-0262:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.308024691358025 4990 "1"
"142" "Stack.tif:0022-0264:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.303061224489796 5940 "1"
"143" "Stack.tif:0023-0264:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.368032786885246 4490 "1"
